ID,Nombre,Apellido,Mail,Ingreso,Compras mensuales un pago,Compras mensuales cuotas,Pagos crédito,Ahorro,Frecuencia de compras un pago,Frecuencia de compras cuotas
1,Dena,Bruins,dbruins0@instagram.com,10962.03,2165.91,1576.02,2549.02,1738.78,0.1416,0.4345
2,Gisele,Fliege,gfliege1@xing.com,996.87,132.9,2755.58,242.53,1424.95,0.6752,0.9371
3,Emili,Brimmicombe,ebrimmicombe2@tmall.com,2339.14,1914.43,763.3,2097.06,1272.98,0.2938,0.5352
4,Bryanty,Oman,boman3@wired.com,8356.7,4579.06,2697.44,434.86,687.89,0.3827,0.577
5,Diane,Adamovitz,dadamovitz4@digg.com,6676.88,3301.44,2924.04,596.96,1306.75,0.0512,0.2847
6,Nerissa,McComish,nmccomish5@wired.com,11374.87,3546.36,2000.62,2559.91,509.56,0.204,0.4223
7,Moyna,Schuchmacher,mschuchmacher6@globo.com,6781.27,4604.24,2923.87,2451.09,1423.19,0.2905,0.1571
8,Marlyn,Beany,mbeany7@newyorker.com,673.72,4439.84,1395.37,1182.14,1218.12,0.4458,0.3534
9,Jelene,Drissell,jdrissell8@rakuten.co.jp,10941.33,1575.37,1434.59,2971.72,433.48,0.3557,0.1777
10,Chadd,Symonds,csymonds9@ted.com,9483.73,2652.35,810.35,2106.83,1187.56,0.0679,0.4061
11,Alick,Edmunds,aedmundsa@hp.com,1596.34,3949.64,1915.27,1833.29,153.73,,0.54
12,Meridith,Truss,mtrussb@cafepress.com,3401.0,2630.82,1273.76,2193.65,842.77,0.4491,0.8033
13,Elvera,O'Loghlen,eologhlenc@hhs.gov,4092.6,4307.82,3812.61,2807.7,1776.73,0.3271,0.8207
14,Tove,Peret,tperetd@rakuten.co.jp,7903.54,4367.52,,312.69,183.73,0.6349,0.8793
15,Raleigh,De Pietri,rdepietrie@google.es,8677.45,2761.27,3516.3,2540.03,1196.01,0.3973,0.1371
16,Ermina,Masserel,emasserelf@mysql.com,5022.51,3143.48,800.69,67.06,1535.42,0.3219,0.3483
17,Fraser,Lown,flowng@dedecms.com,5047.46,2662.9,3673.37,80.34,876.11,0.9935,0.5552
18,Henryetta,Cowdray,hcowdrayh@google.de,4445.69,4393.79,1379.18,1159.4,686.7,0.3952,0.0009
19,Bernardine,Colliver,bcolliveri@columbia.edu,,3636.89,2034.16,,750.94,0.6396,
20,Minette,Litel,mlitelj@constantcontact.com,10500.59,440.16,3700.44,1909.11,1704.79,0.356,0.6331
21,Kass,McGee,kmcgeek@digg.com,652.5,91.71,2736.98,1398.99,429.22,0.0517,0.5777
22,Nat,Lesek,nlesekl@xrea.com,4437.74,3384.17,3822.56,1039.51,515.81,0.0248,0.5077
23,Marcy,Treasure,mtreasurem@quantcast.com,2773.95,4170.87,2118.42,2909.05,754.62,0.0418,0.2953
24,Madella,Farmer,mfarmern@surveymonkey.com,9538.03,1159.15,3119.3,1110.62,1570.01,0.2761,0.2138
25,Debra,Besant,dbesanto@tiny.cc,4804.28,2836.54,2071.52,1887.83,1394.94,0.9788,0.9305
26,Kaleena,Rea,kreap@twitpic.com,11723.77,2111.28,3713.53,1790.34,367.88,0.9339,0.8288
27,Isahella,Baulcombe,ibaulcombeq@toplist.cz,4882.34,3205.63,3982.75,2734.22,504.68,0.4414,0.1359
28,Ree,Laidel,rlaidelr@ask.com,6878.46,2370.95,2282.56,1089.45,174.04,0.162,0.2314
29,Merrill,Demkowicz,mdemkowiczs@senate.gov,8971.26,52.07,1101.26,2822.89,296.0,0.7789,0.1296
30,Boycey,Sancroft,bsancroftt@ted.com,10880.6,3069.91,605.4,89.5,122.06,0.7825,0.0601
31,Gilbertina,Brumbie,gbrumbieu@psu.edu,1072.06,1177.39,803.23,162.73,1252.07,0.9185,0.1826
32,Neila,Badini,nbadiniv@artisteer.com,1671.53,4931.88,968.31,2378.21,1220.45,0.8491,0.0146
33,Kelcey,Longdon,klongdonw@nih.gov,10082.41,1115.33,,1742.58,48.48,0.2958,0.7415
34,Barrett,Bleasdale,bbleasdalex@1und1.de,7322.93,234.33,,645.03,1753.64,0.9874,0.1142
35,Terry,De Stoop,tdestoopy@google.com.br,1934.86,2229.72,2727.56,1710.3,450.25,0.1604,0.292
36,Ansley,Maric,amaricz@cpanel.net,4883.29,60.24,1491.69,900.99,1631.25,0.5087,0.0266
37,Wrennie,Mulvagh,wmulvagh10@sitemeter.com,,1728.37,2017.22,,1640.01,0.6071,
38,Tabby,Castellaccio,tcastellaccio11@vimeo.com,1260.13,4878.77,3340.95,531.2,688.31,0.9232,0.3333
39,Daniella,Byk,dbyk12@imgur.com,8552.07,3639.08,3290.27,491.69,1423.61,,0.4201
40,Stanislas,Macek,smacek13@bandcamp.com,6771.53,,825.79,1182.01,,0.8818,0.8188
41,Alta,Mattingley,amattingley14@uol.com.br,6489.4,2992.17,,2549.57,686.37,0.333,0.5922
42,Merralee,Conor,mconor15@mlb.com,5649.24,1435.83,,1745.55,1531.13,0.1675,0.4133
